title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;;;;;;;;
Dynamic Service Choreography using Context Aware Enterprise Service Bus.;S Bhattacharya, J Chanda, S Sengupta, A Kanjilal - SEKE, 2011 - pdfs.semanticscholar.org;2011;https://pdfs.semanticscholar.org/d178/36e780b6054c867be780679a77da5d0cbe2a.pdf;https://pdfs.semanticscholar.org/d178/36e780b6054c867be780679a77da5d0cbe2a.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
CA-ESB: Context aware enterprise service bus;J Chanda, S Sengupta, A Kanjilal, K India - International Journal of …, 2011 - Citeseer;2011;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
A context-aware orchestrating and choreographic test framework for service-oriented applications;L Mei - 2009 31st International Conference on Software …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5071024/;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;8;No DOI available;;;;;;;;
Manners externalize semantics for on-demand composition of context-aware services;A Arsanjani, F Curbera, N Mukhi - … International Conference on …, 2004 - ieeexplore.ieee.org;2004;https://ieeexplore.ieee.org/abstract/document/1314785/;https://ieeexplore.ieee.org/iel5/9185/29136/01314785.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;14;No DOI available;;;;;;;;
Context-aware service composition: a methodology and a case study;L Bastida, FJ Nieto, R Tola - … of the 2nd international workshop on …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1370921;https://www.researchgate.net/profile/Roberto_Tola/publication/228345031_Context-aware_service_composition_a_methodology_and_a_case_study/links/00b7d519e01a4e35f9000000/Context-aware-service-composition-a-methodology-and-a-case-study.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;25;No DOI available;;;;;;;;
An executable choreography framework for dynamic service-oriented architectures;F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org;2006;https://ieeexplore.ieee.org/abstract/document/1656059/;https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;8;7;No DOI available;;;;;;;;
A systematic literature review of service choreography adaptation;LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - … Oriented Computing and …, 2013 - Springer;2013;https://link.springer.com/article/10.1007/s11761-012-0125-z;https://link.springer.com/article/10.1007/s11761-012-0125-z;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;6;45;No DOI available;;;;;;;;
Method and system for context aware collaborative tagging;JE Boyer, EE Kelley, E Lane - US Patent App. 12/046,914, 2009 - Google Patents;2009;https://patents.google.com/patent/US20090235167A1/en;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;113;No DOI available;;;;;;;;
Approaching context-awareness for open intelligent space;P Roy, B Abdulrazak, Y Belala - … of the 6th International Conference on …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1497276;No PDF available;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;2;10;No DOI available;;;;;;;;
Automated context-aware adaptation of web service executions;NC Narendra, S Gundugola - IEEE International Conference on …, 2006 - researchgate.net;2006;https://www.researchgate.net/profile/Nanjangud_Narendra/publication/221429532_Automated_Context-Aware_Adaptation_of_Web_Service_Executions/links/0912f50b6c3c03ab88000000/Automated-Context-Aware-Adaptation-of-Web-Service-Executions.pdf;https://www.researchgate.net/profile/Nanjangud_Narendra/publication/221429532_Automated_Context-Aware_Adaptation_of_Web_Service_Executions/links/0912f50b6c3c03ab88000000/Automated-Context-Aware-Adaptation-of-Web-Service-Executions.pdf;context-aware+AND+choreograph_GoogleScholar.csv;GoogleScholar;1;19;No DOI available;;;;;;;;
