title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;nix;nix;nix;nix;;;;
Exploring the Role of Organizational Learning and Leadership in Developing Dynamic Capabilities;JY Park, R Muaid, YK Lew, CH Oh - researchgate.net;No year available;https://www.researchgate.net/profile/Yong_Kyu_Lew2/publication/330505968_Exploring_the_Role_of_Organizational_Learning_and_Leadership_in_Developing_Dynamic_Capabilities/links/5c4529c6299bf12be3d79503/Exploring-the-Role-of-Organizational-Learning-and-Leadership-in-Developing-Dynamic-Capabilities.pdf;https://www.researchgate.net/profile/Yong_Kyu_Lew2/publication/330505968_Exploring_the_Role_of_Organizational_Learning_and_Leadership_in_Developing_Dynamic_Capabilities/links/5c4529c6299bf12be3d79503/Exploring-the-Role-of-Organizational-Learning-and-Leadership-in-Developing-Dynamic-Capabilities.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
On the Integration of Configuration and Хeta-Level Programming Approaches;O LoquesН, A SztajnbergО, J LeiteН, M LoboscoН - Citeseer;No year available;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.11.6456&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.11.6456&rep=rep1&type=pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Models of strategic human resource management;S Colakoglu, Y Hong, DP Lepak - The Sage handbook of human …, 2010 - books.google.com;2010;https://books.google.de/books?hl=de&lr=&id=HNR8awhchl0C&oi=fnd&pg=PA31&dq=context-specific+AND+decentralized+composition+AND+reconfig*&ots=PbPhgpj_PQ&sig=2ES8_Rw_AQ2460S5KP6mojYoOAE;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;;;;;;;;
Learning through knowledge management;PK Ahmed, KK Lim, AYE Loh - 2007 - taylorfrancis.com;2007;https://www.taylorfrancis.com/books/9781136388002;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;282;No DOI available;;;;;;;;
Precarity unbound;N Ettlinger - Alternatives, 2007 - journals.sagepub.com;2007;https://journals.sagepub.com/doi/abs/10.1177/030437540703200303;https://journals.sagepub.com/doi/pdf/10.1177/030437540703200303;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;149;No DOI available;;;;;;;;
Urban sustainability transitions in a context of multi-level governance: A comparison of four European states;F Ehnert, F Kern, S Borgström, L Gorissen… - … innovation and societal …, 2018 - Elsevier;2018;https://www.sciencedirect.com/science/article/pii/S2210422416301289;https://www.researchgate.net/profile/Markus_Egermann/publication/317423961_Urban_sustainability_transitions_in_a_context_of_multi-level_governance_A_comparison_of_four_European_states/links/5ab219530f7e9b4897c4299c/Urban-sustainability-transitions-in-a-context-of-multi-level-governance-A-comparison-of-four-European-states.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;29;No DOI available;;;;;;;;
The place of food: mapping out the 'local'in local food systems;R Feagan - Progress in human geography, 2007 - journals.sagepub.com;2007;https://journals.sagepub.com/doi/abs/10.1177/0309132507073527;https://journals.sagepub.com/doi/pdf/10.1177/0309132507073527;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;750;No DOI available;;;;;;;;
A case study on adoptive management innovation in China;H Lin, J Su - Journal of Organizational Change Management, 2014 - emeraldinsight.com;2014;https://www.emeraldinsight.com/doi/abs/10.1108/JOCM-07-2012-0112;https://www.researchgate.net/profile/Haifen_Lin/publication/263386604_A_case_study_on_adoptive_management_innovation_in_China/links/57439f0d08ae9ace841b3c8a.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;22;No DOI available;;;;;;;;
Securing vehicular communications;M Raya, P Papadimitratos… - IEEE wireless …, 2006 - ieeexplore.ieee.org;2006;https://ieeexplore.ieee.org/abstract/document/4015703/;https://ieeexplore.ieee.org/iel5/7742/4015697/04015703.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;725;No DOI available;;;;;;;;
Local government decentralization and gender;R Myers - … Conference on Local Government Decentralization …, 2002 - iepala.es;2002;http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf;http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
Has gender mainstreaming failed? A comment on international development agency experiences in the South;C Moser - International Feminist Journal of Politics, 2005 - Taylor & Francis;2005;https://www.tandfonline.com/doi/full/10.1080/14616740500284573;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:Aj-wtyMxmPoJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=2193113992029206396&oi=lle;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;153;No DOI available;;;;;;;;
Increasing Food System Resilience for Nutrition Sensitivity and Sustainability: A Decentralized Analysis for India;KNR Kumar, SC Babu - 2018 - indiaenvironmentportal.org.in;2018;http://www.indiaenvironmentportal.org.in/files/file/Increasing%20food%20system%20resilience%20for%20nutrition%20sensitivity%20and%20sustainability.pdf;http://www.indiaenvironmentportal.org.in/files/file/Increasing%20food%20system%20resilience%20for%20nutrition%20sensitivity%20and%20sustainability.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
SUCCESS FACTORS AND CHALLENGES OF THE GERMAN GREEN BELT IN THE GOVERNANCE ASPECT49;SK Shim - How to push the implementation of the European …, 2014 - db-thueringen.de;2014;https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00029461/Verkehr%2018.pdf#page=54;https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00029461/Verkehr%2018.pdf#page=54;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Developing a Digital Co-creation Assessment Methodology;M Mačiulienė, A Skaržauskienė, D Botteldooren - 2019 - repository.mruni.eu;2019;https://repository.mruni.eu/handle/007/15544;https://repository.mruni.eu/bitstream/handle/007/15544/33338491.pdf?sequence=1;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Cervical cancer screening decentralized policy adaptation: an African rural-context-specific systematic literature review;R Rahman, MD Clark, Z Collins, F Traore… - Global health …, 2019 - Taylor & Francis;2019;https://www.tandfonline.com/doi/abs/10.1080/16549716.2019.1587894;https://www.tandfonline.com/doi/full/10.1080/16549716.2019.1587894;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
The impact of context on evidence utilization: a framework for expert groups developing health policy recommendations;MJ Dobrow, V Goel, L Lemieux-Charles… - Social science & …, 2006 - Elsevier;2006;https://www.sciencedirect.com/science/article/pii/S0277953606002309;No PDF available;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;175;No DOI available;;;;;;;;
Scrutinizing the EU general data protection regulation;L Marelli, G Testa - Science, 2018 - science.sciencemag.org;2018;http://science.sciencemag.org/content/360/6388/496.short;http://www.unimi.it/lastatalenews/sites/default/files/attachments/Marelli%20and%20Testa%20Science%202018.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;14;No DOI available;;;;;;;;
Communities matter: Institutional preconditions for community renewable energy;S Wirth - Energy Policy, 2014 - Elsevier;2014;https://www.sciencedirect.com/science/article/pii/S0301421514001682;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:_Vo3WYqXLwcJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=3438226668335493879&oi=lle;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;82;No DOI available;;;;;;;;
Fiscal decentralization in Indonesia: A new approach to an old idea;P Smoke, BD Lewis - World Development, 1996 - Elsevier;1996;https://www.sciencedirect.com/science/article/pii/0305750X96000423;https://www.researchgate.net/profile/Blane_Lewis/publication/222744640_Fiscal_Decentralization_in_Indonesia_A_New_Approach_to_an_Old_Idea/links/5b33664f0f7e9b0df5cd20c7/Fiscal-Decentralization-in-Indonesia-A-New-Approach-to-an-Old-Idea.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;162;No DOI available;;;;;;;;
Role of specific similarity in a medical diagnostic task.;LR Brooks, GR Norman, SW Allen - Journal of Experimental …, 1991 - psycnet.apa.org;1991;https://psycnet.apa.org/record/1992-02035-001;https://www.researchgate.net/profile/Geoffrey_Norman/publication/21318474_Role_of_Specific_Similarity_in_a_Medical_Diagnostic_Task/links/55d741db08aed6a199a67d05.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;365;No DOI available;;;;;;;;
The sensitivity of air pollution to the structure and design of cities;JM Peters, AP Jones - 2003 - witpress.com;2003;https://www.witpress.com/elibrary/wit-transactions-on-the-built-environment/64/2728;https://www.witpress.com/Secure/elibrary/papers/UT03/UT03029FU.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
HIV/AIDS mitigation strategies and the State in sub-Saharan Africa–the missing link?;A Mohiddin, D Johnston - Globalization …, 2006 - globalizationandhealth …;2006;https://globalizationandhealth.biomedcentral.com/articles/10.1186/1744-8603-2-1;https://globalizationandhealth.biomedcentral.com/articles/10.1186/1744-8603-2-1;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;12;No DOI available;;;;;;;;
A lightweight approach for knowledge sharing in distributed software teams;W Maalej, HJ Happel - International Conference on Practical Aspects of …, 2008 - Springer;2008;https://link.springer.com/chapter/10.1007/978-3-540-89447-6_4;http://mobis.informatik.uni-hamburg.de/wp-content/uploads/2013/01/A-Lightweight-Approach-for-Knowledge-Sharing-in-Distributed-Software-Teams.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;42;No DOI available;;;;;;;;
Extension poverty and vulnerability: the scope for policy reform. Final report of a study for the Neuchâtel Initiative;J Farrington, I Christoplos, A Kidd, M Beckman - 2002 - agris.fao.org;2002;http://agris.fao.org/agris-search/search.do?recordID=GB2013202827;No PDF available;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;30;No DOI available;;;;;;;;
Flowing Upstream: Towards Gender Just Equitable and Empowering Water Management;S Ahmed - … Women Through Water Management Initiatives in …, 2005 - books.google.com;2005;https://books.google.de/books?hl=de&lr=&id=U5Kj_-4IvtsC&oi=fnd&pg=PA211&dq=context-specific+AND+decentralized+composition+AND+sensitiv&ots=NQfpUqbKJx&sig=UskTMvQeRJuhEhLYHvRcoP-60xg;No PDF available;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Sabrina: A Decentralized Trigger-Action Based System for the Internet of Things;G Campagna, A Chen, R Tuason - hselin.com;No year available;http://hselin.com/resources/Sabrina_Final_Report.pdf;http://hselin.com/resources/Sabrina_Final_Report.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Estimating the cost of implementing district mental healthcare plans in five low-and middle-income countries: the PRIME study;D Chisholm, S Burman-Roy, A Fekadu… - The British journal of …, 2016 - cambridge.org;2016;https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/estimating-the-cost-of-implementing-district-mental-healthcare-plans-in-five-low-and-middleincome-countries-the-prime-study/163B58FD9BB36D616E8E7140BE9D4C4A;https://www.cambridge.org/core/services/aop-cambridge-core/content/view/163B58FD9BB36D616E8E7140BE9D4C4A/S0007125000246291a.pdf/estimating_the_cost_of_implementing_district_mental_healthcare_plans_in_five_low_and_middleincome_countries_the_prime_study.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;45;No DOI available;;;;;;;;
Work context and the definition of self: How organizational care influences organization-basei self-esteem;DJ McAllister, GA Bigley - Academy of Management Journal, 2002 - journals.aom.org;2002;https://journals.aom.org/doi/abs/10.5465/3069320;https://www.jstor.org/stable/pdf/3069320.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;219;No DOI available;;;;;;;;
Decentralization reforms;K Kaiser - … sector downsizing, taxation, decentralization …, 2006 - siteresources.worldbank.org;2006;http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf;http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;46;No DOI available;;;;;;;;
Five steps to creating a global knowledge-sharing system: Siemens' ShareNet;SC Voelpel, M Dous, TH Davenport - Academy of Management …, 2005 - journals.aom.org;2005;https://journals.aom.org/doi/abs/10.5465/ame.2005.16962590;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:DdwOaiCECGEJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=11786562184713634649&oi=lle;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;179;No DOI available;;;;;;;;
