Choosen;title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;nix;nix;nix;nix;;;;
n;AIOCJ: A Choreographic Framework for Safe Adaptive Distributed Applications;M Dalla Preda, S Giallorenzo, I Lanese, J Mauro… - … Conference on Software …, 2014 - Springer;2014;https://link.springer.com/chapter/10.1007/978-3-319-11245-9_9;https://arxiv.org/pdf/1407.0975;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;41;No DOI available;;;;;;;;
x;An executable choreography framework for dynamic service-oriented architectures;F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org;2006;https://ieeexplore.ieee.org/abstract/document/1656059/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;;;;;;;;
x;A context-aware adaptive web service composition framework;Z Cao, X Zhang, W Zhang, X Xie… - 2015 IEEE International …, 2015 - ieeexplore.ieee.org;2015;https://ieeexplore.ieee.org/abstract/document/7078668/;http://library.abes.ac.in/Conference%20Proceedings%20ABESEC/CICT-2015/A%20Context-aware%20Adaptive%20Web%20service%20Composition%20Framework.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;;;;;;;;
x;Adaptable service composition for very-large-scale internet of things systems;K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=2093192;https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;41;No DOI available;;;;;;;;
n;A requirements-led approach for specifying qos-aware service choreographies: An experience report;N Maiden, J Lockerbie, K Zachos, A Bertolino… - … Working Conference on …, 2014 - Springer;2014;https://link.springer.com/chapter/10.1007/978-3-319-05843-6_18;http://openaccess.city.ac.uk/15055/1/REFSQ2014forCRO.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
x;A development framework and methodology for self-adapting applications in ubiquitous computing environments;S Hallsteinsen, K Geihs, N Paspallis, F Eliassen… - Journal of Systems and …, 2012 - Elsevier;2012;https://www.sciencedirect.com/science/article/pii/S0164121212002245;http://heim.ifi.uio.no/~frank/Publications/JSS2012.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;84;No DOI available;;;;;;;;
x;Component-oriented approaches to context-aware computing;S Dobson - European Conference on Object-Oriented …, 2004 - Springer;2004;https://link.springer.com/chapter/10.1007/978-3-540-30554-5_9;http://www.academia.edu/download/30801113/COACAC-04.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;;;;;;;;
x;CA-ESB: Context aware enterprise service bus;J Chanda, S Sengupta, A Kanjilal, K India - International Journal of …, 2011 - Citeseer;2011;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.4891&rep=rep1&type=pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
x;Approaching context-awareness for open intelligent space;P Roy, B Abdulrazak, Y Belala - … of the 6th International Conference on …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1497276;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;;;;;;;;
x;Context-aware service composition: a methodology and a case study;L Bastida, FJ Nieto, R Tola - … of the 2nd international workshop on …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1370921;https://www.researchgate.net/profile/Roberto_Tola/publication/228345031_Context-aware_service_composition_a_methodology_and_a_case_study/links/00b7d519e01a4e35f9000000/Context-aware-service-composition-a-methodology-and-a-case-study.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;25;No DOI available;;;;;;;;
n;Using complex event processing for dynamic business process adaptation;G Hermosillo, L Seinturier… - 2010 IEEE International …, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5557204/;https://hal.inria.fr/inria-00482578/document;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;90;No DOI available;;;;;;;;
x;An adaptive and context-aware scenario model based on a web service architecture for pervasive learning systems;C Pham-Nguyen, S Garlatti, BYS Lau… - International Journal of …, 2009 - igi-global.com;2009;https://www.igi-global.com/article/adaptive-context-aware-scenario-model/34064;https://pdfs.semanticscholar.org/6176/45a8a25214d037fff6d2c2608debcb5f8d83.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
n;Extending a shared workspace environment with context-based adaptations;D Veiel, JM Haake, S Lukosch - International Conference on Collaboration …, 2009 - Springer;2009;https://link.springer.com/chapter/10.1007/978-3-642-04216-4_14;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
n;Service-oriented middleware for the future internet: state of the art and research directions;V Issarny, N Georgantas, S Hachem, A Zarras… - Journal of Internet …, 2011 - Springer;2011;https://link.springer.com/article/10.1007/s13174-011-0021-3;https://link.springer.com/article/10.1007/s13174-011-0021-3;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;161;No DOI available;;;;;;;;
n;Towards context-aware semantic web service discovery through conceptual situation spaces;S Dietze, A Gugliotta, J Domingue - … selection, integration and adaptation …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1361488;http://www.academia.edu/download/30738986/a6-dietze.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;27;No DOI available;;;;;;;;
x;A survey of dynamic service composition approaches for ambient systems;A Urbieta, G Barrutieta, J Parra… - Proceedings of the 2008 …, 2008 - dl.acm.org;2008;https://dl.acm.org/citation.cfm?id=1413928;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;56;No DOI available;;;;;;;;
n;A development process for requirements based service choreography;M Autili, D Di Ruscio, P Inverardi… - 2011 Workshop on …, 2011 - ieeexplore.ieee.org;2011;https://ieeexplore.ieee.org/abstract/document/6043925/;https://hal.inria.fr/inria-00620917/document;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
n;CCMF  Computational Context Modeling Framework-An Ontological Approach to Develop Context-Aware Web Applications;LP Carvalho, PC da Silva - Semantics in Action-Applications and …, 2012 - intechopen.com;2012;https://www.intechopen.com/download/pdf/36060;https://www.intechopen.com/download/pdf/36060;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;;;;;;;;
n;Context aware orchestration meta-model;F Seyler, C Taconet, G Bernard - … International Conference on …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4437894/;http://www-public.imtbs-tsp.eu/~taconet/LibreService/Publis/icas07.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
n;A Ubiquitous and Context-Aware Framework for Supporting Virtual Engineering Services;JY Lee, DW Seo, K Kim, H Kim - Computer-Aided Design and …, 2005 - Taylor & Francis;2005;https://www.tandfonline.com/doi/abs/10.1080/16864360.2005.10738340;https://pdfs.semanticscholar.org/7c27/6873b737dad84c705e48ef7ad5c2b8fc756c.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;2;No DOI available;;;;;;;;
x;Context aware service composition.;M Vukovic, P Robinson - 2007 - researchgate.net;2007;https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf;https://www.researchgate.net/profile/Ichiro_Satoh/publication/221600935_Context-Aware_Service_Composition/links/559fe7ca08ae032ef0544a15.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;45;No DOI available;;;;;;;;
n;Facilitating team-based adaptation of shared workspaces;D Veiel, JM Haake, S Lukosch - 2010 International Symposium …, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5478502/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;12;No DOI available;;;;;;;;
x;Service-oriented computing: State of the art and research challenges;MP Papazoglou, P Traverso, S Dustdar… - Computer, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4385255/;https://pegaso.ls.fi.upm.es/sistemas_dist/images/documentacion/practicas/leymann_2007.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;1594;No DOI available;;;;;;;;
x;A novel process network model for interacting context-aware web services;X Zhang, H Liu, A Abraham - IEEE Transactions on Services …, 2013 - ieeexplore.ieee.org;2013;https://ieeexplore.ieee.org/abstract/document/6148208/;http://sip04.softcomputing.net/tsc2012.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;21;No DOI available;;;;;;;;
x;Manners externalize semantics for on-demand composition of context-aware services;A Arsanjani, F Curbera, N Mukhi - … International Conference on …, 2004 - ieeexplore.ieee.org;2004;https://ieeexplore.ieee.org/abstract/document/1314785/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;14;No DOI available;;;;;;;;
n;Towards modeling and execution of collective adaptive systems;V Andrikopoulos, A Bucchiarone, SG Sáez… - … Conference on Service …, 2013 - Springer;2013;https://link.springer.com/chapter/10.1007/978-3-319-06859-6_7;https://www.iaas.uni-stuttgart.de/publications/INPROC-2013-54-Towards-Modeling-and-Execution-of-Collective-Adaptive-Systems.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;19;No DOI available;;;;;;;;
x;Using role-based composition to support unanticipated dynamic adaptation-smart application grids;C Piechnick, S Richly, S Götz, C Wilke… - Proceedings of …, 2012 - Citeseer;2012;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.679.6763&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.679.6763&rep=rep1&type=pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;19;No DOI available;;;;;;;;
n;Towards a context-adaptive integrated shared work environment;S Lukosch, D Veiel, JM Haake - 2008 - ub-deposit.fernuni-hagen.de;2008;https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf;https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
n;A context-aware framework for flowable services;RY Shtykh, Y Zhu, Q Jin - 2009 Third International Conference …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5318892/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
x;Macro and micro context-awareness for autonomic pervasive computing;B Abdulrazak, P Roy, C Gouin-Vallerand… - Proceedings of the 12th …, 2010 - dl.acm.org;2010;https://dl.acm.org/citation.cfm?id=1967553;http://www.academia.edu/download/42086756/Macro_and_micro_context-awareness_for_au20160204-30232-1a40obh.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;30;No DOI available;;;;;;;;
n;Spontaneous emergence model for pervasive environments;J Gaber - 2007 IEEE Globecom Workshops, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4437807/;https://www.researchgate.net/profile/Jaafar_Gaber/publication/4314167_Spontaneous_Emergence_Model_for_Pervasive_Environments/links/0deec5298475fdd343000000/Spontaneous-Emergence-Model-for-Pervasive-Environments.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;22;No DOI available;;;;;;;;
x;Context-aware Integration of Collaboration Services for the Support of Mobile Field Operations.;HJ Eikerling, M Benesch, F Berger, S Bublitz - CCE, 2007 - cs.emis.de;2007;http://cs.emis.de/LNI/Proceedings/Proceedings120/gi-proc-120-013.pdf;http://cs.emis.de/LNI/Proceedings/Proceedings120/gi-proc-120-013.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
n;Developing correct  distributed  adaptive software;M Dalla Preda, M Gabbrielli, S Giallorenzo… - Science of Computer …, 2015 - Elsevier;2015;https://www.sciencedirect.com/science/article/pii/S0167642313003031;https://www.sciencedirect.com/science/article/pii/S0167642313003031;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;;;;;;;;
n;CHOREOS: large scale choreographies for the future internet;M Autili, P Inverardi, M Tivoli - 2014 Software Evolution Week …, 2014 - ieeexplore.ieee.org;2014;https://ieeexplore.ieee.org/abstract/document/6747202/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;17;No DOI available;;;;;;;;
n;An HTTP-based Context Negotiation Model for Realizing the User-Aware Web;JI Vázquez, D López de Ipiña - 1st International Workshop on …, 2005 - academia.edu;2005;http://www.academia.edu/download/42182532/VazquezIWI2005Final.pdf;http://www.academia.edu/download/42182532/VazquezIWI2005Final.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
n;Collaborative  Dynamic & Complex Systems-Modeling  Provision & Execution.;V Andrikopoulos, SG Sáez, D Karastoyanova… - CLOSER, 2014 - iaas.uni-stuttgart.de;2014;https://www.iaas.uni-stuttgart.de/publications/INPROC-2014-08-Collaborative-Dynamic-Complex-Systems-Modeling-Provision-Execution.pdf;https://www.iaas.uni-stuttgart.de/publications/INPROC-2014-08-Collaborative-Dynamic-Complex-Systems-Modeling-Provision-Execution.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
x;Secure mobile services infrastructures for mGovernment: Personalised  context-aware composition of pervasive mobile services;A Davy, F Mahon, K Doolin, B Jennings… - … mGov) Conference, I …, 2005 - researchgate.net;2005;https://www.researchgate.net/profile/Alan_Davy/publication/228365195_Secure_Mobile_Services_Infrastructures_for_mGovernment_Personalised_Context-aware_Composition_of_Pervasive_Mobile_Services/links/0912f50cf2da522de8000000.pdf;https://www.researchgate.net/profile/Alan_Davy/publication/228365195_Secure_Mobile_Services_Infrastructures_for_mGovernment_Personalised_Context-aware_Composition_of_Pervasive_Mobile_Services/links/0912f50cf2da522de8000000.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
n;Towards context-aware multimedia processing through semantic web services;S Dietze, JB Domingue - Proceedings of the 7th European Conference …, 2009 - dl.acm.org;2009;https://dl.acm.org/citation.cfm?id=1542107;http://www.academia.edu/download/31008881/towards_context_aware_composition_of_web_services.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
x;Context-aware web service composition;D Zhovtobryukh - 2006 - jyx.jyu.fi;2006;https://jyx.jyu.fi/handle/123456789/13238;https://jyx.jyu.fi/bitstream/handle/123456789/13238/1/951392727X.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;;;;;;;;
x;Process-centric engineering web services in a distributed and collaborative environment;JY Lee, S Lee, K Kim, H Kim, CH Kim - Computers & Industrial Engineering, 2006 - Elsevier;2006;https://www.sciencedirect.com/science/article/pii/S0360835206000969;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;30;No DOI available;;;;;;;;
x;Interoperability Challenges for Context Aware Logistics Services-the Case of Synchromodal Logistics.;PM Singh, M van Sinderen - IWEI Workshops, 2015 - core.ac.uk;2015;https://core.ac.uk/download/pdf/31152600.pdf;https://core.ac.uk/download/pdf/31152600.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
x;Dynamic adaptive service architecture–towards coordinated service composition;C Pahl - European Conference on Software Architecture, 2010 - Springer;2010;https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43;http://doras.dcu.ie/15977/1/Dynamic_Adaptive_Service_Architecture_%E2%80%93_Towards_Coordinated_Service_Composition.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;11;No DOI available;;;;;;;;
n;Adaptation to Connectivity Loss in Pervasive Computing Environments;M Fredj, N Georgantas, V Issarny, A Zarras - workshop in Sintra, 2006 - researchgate.net;2006;https://www.researchgate.net/profile/Juergen_Anke/publication/242384653_A_Service-Oriented_Middleware_for_Integration_and_Management_of_Heterogeneous_Smart_Items_Environments/links/0a85e53b15dff443a7000000/A-Service-Oriented-Middleware-for-Integration-and-Management-of-Heterogeneous-Smart-Items-Environments.pdf#page=79;https://www.researchgate.net/profile/Juergen_Anke/publication/242384653_A_Service-Oriented_Middleware_for_Integration_and_Management_of_Heterogeneous_Smart_Items_Environments/links/0a85e53b15dff443a7000000/A-Service-Oriented-Middleware-for-Integration-and-Management-of-Heterogeneous-Smart-Items-Environments.pdf#page=79;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
x;Towards context-sensitive service aspects;T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer;2006;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;22;No DOI available;;;;;;;;
x;Context-aware process support through automatic selection and invocation of semantic web services;S Dietze, A Gugliotta… - … Conference on Service …, 2007 - ieeexplore.ieee.org;2007;https://ieeexplore.ieee.org/abstract/document/4273427/;https://pdfs.semanticscholar.org/9660/6c9d88b527e0ce53426f0f0dcbf10b154571.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
x;Automate: Enabling autonomic applications on the grid;M Agarwal, V Bhat, H Liu, V Matossian… - 2003 Autonomic …, 2003 - ieeexplore.ieee.org;2003;https://ieeexplore.ieee.org/abstract/document/1210204/;https://nsfcac.rutgers.edu/TASSL/Papers/automate-ams-03.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;134;No DOI available;;;;;;;;
n;Highly available location-based services in mobile environments;P Ibach, M Horbank - International Service Availability Symposium, 2004 - Springer;2004;https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.455.5948&rep=rep1&type=pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;43;No DOI available;;;;;;;;
n;An engineering method for adaptive  context-aware web applications;JW Kaltz - 2006 - duepublico.uni-duisburg-essen.de;2006;https://duepublico.uni-duisburg-essen.de/servlets/DocumentServlet?id=5714;https://duepublico.uni-duisburg-essen.de/servlets/DerivateServlet/Derivate-5714/diss_kaltz.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;;;;;;;;
n;Context-Aware interaction models in cross-organizational processes;F Skopik, D Schall, S Dustdar… - 2010 Fifth International …, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5476794/;https://www.researchgate.net/profile/Schahram_Dustdar/publication/228979042_Context-Aware_Interaction_Models_in_Cross-Organizational_Processes/links/00463520d3bb0e5107000000.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;;;;;;;;
n;A Technology Roadmap on SOA for smart embedded devices: Towards intelligent systems in manufacturing;A Cannata, M Gerosa, M Taisch - 2008 IEEE International …, 2008 - ieeexplore.ieee.org;2008;https://ieeexplore.ieee.org/abstract/document/4737972/;http://www.socrades.net/Documents/objects/file1251450638.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;27;No DOI available;;;;;;;;
x;Service-oriented adaptation in ubiquitous computing environments;K Geihs, R Reichle, M Wagner… - 2009 International …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5284128/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;;;;;;;;
n;Enabling coupled multi-scale  multi-field experiments through choreographies of data-driven scientific simulations;A Weiß, D Karastoyanova - Computing, 2016 - Springer;2016;https://link.springer.com/article/10.1007/s00607-014-0432-7;https://www.iaas.uni-stuttgart.de/publications/ART-2014-10-Enabling-coupled-multi-scale-multi-field-experiments-through-choreographies-of-data-driven-scientific-simulations.pdf;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;19;No DOI available;;;;;;;;
n;A life cycle for coupled multi-scale  multi-field experiments realized through choreographies;A Weiß, D Karastoyanova - 2014 IEEE 18th International …, 2014 - ieeexplore.ieee.org;2014;https://ieeexplore.ieee.org/abstract/document/6972072/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;9;No DOI available;;;;;;;;
n;CA-Graph: A Context Aware Graph to model Enterprise Service Bus;J Chanda, S Sengupta, A Kanjilal… - 2010 Annual IEEE …, 2010 - ieeexplore.ieee.org;2010;https://ieeexplore.ieee.org/abstract/document/5712653/;No PDF available;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;1;No DOI available;;;;;;;;
n;C2IoT: A framework for Cloud-based Context-aware Internet of Things services for smart cities;S Faieq, R Saidi, H Elghazi, MD Rahmani - Procedia Computer Science, 2017 - Elsevier;2017;https://www.sciencedirect.com/science/article/pii/S1877050917312486;https://www.sciencedirect.com/science/article/pii/S1877050917312486/pdf?md5=6ec8c01090ea5a70108535ca470c4db0&isDTMRedir=Y&pid=1-s2.0-S1877050917312486-main.pdf&_valck=1;context-aware+AND+choreography+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
